このデータセットには、完全にオリジナルのテキストだけを含めてください。ニュースや文学作品、その他著作権が存在するテキストを含めないでください。	コ/ノ/ /デ/ー/タ/ /セ/ッ/ト/ニ/ワ/、/カン/ゼン/ニ/ /オ/リ/ジ/ナ/ル/ノ/ /テ/キ/ス/ト/ダ/ケ/ヲ/ /フク/メ/テ/ /ク/ダ/サ/イ/。/ニュ/ー/ス/ヤ/ /ブン/ガク/ /サク/ヒン/、/ソ/ノ/ /タ/チョ/サク/ケン/ガ/ /ソン/ザイ/ /ス/ル/ /テ/キ/ス/ト/ヲ/ /フク/メ/ナ/イ/デ/ /ク/ダ/サ/イ/。
これは、この点訳エンジンを完全にフリーにするために必要な措置です。学習が足りないと感じるときに追加する文章は、著作権のないテキストや、生成AIによって作成されたランダムな文章を使用してください。	コ/レ/ワ/、/コ/ノ/ /テン/ヤク/ /エ/ン/ジ/ン/ヲ/ /カン/ゼン/ニ/ /フ/リ/ー/ニ/ /ス/ル/ /タ/メ/ニ/ /ヒツ/ヨー/ナ/ /ソ/チ/デ/ス/。/ガク/シュー/ガ/ /タ/リ/ナ/イ/ト/ /カン/ジ/ル/ /ト/キ/ニ/ /ツイ/カ /ス/ル/ /ブン/ショー/ワ/、/チョ/サク/ケン/ノ/ /ナ/イ/ /テ/キ/ス/ト/ヤ/、/セイ/セイ/ /エーアイ/ニ/ /ヨ/ッ/テ/ /サク/セイ/ /サ/レ/タ/ /ラ/ン/ダ/ム/ナ/ /ブン/ショー/ヲ/ /シ/ヨー/ /シ/テ/ /ク/ダ/サ/イ/。
点字はフランス人のルイ・ブライユが一八二五年に考案した触読文字体系であり、六個の凸点の組み合わせによって文字や数字、音楽記号などを表現できる画期的な発明である。	テン/ジ/ワ/ /フ/ラ/ン/ス/ジン/ノ/ /ル/イ/・/ブ/ラ/イ/ユ/ガ/ /1/8/2/5/ネン/ニ/ /コー/アン/ /シ/タ/ /ショク/ドク/ /モ/ジ/ /タイ/ケイ/デ/ /ア/リ/、/6/コ/ノ/ /トツ/テン/ノ/ /ク/ミ/ア/ワ/セ/ニ/ /ヨ/ッ/テ/ /モ/ジ/ヤ/ /スー/ジ/、/オン/ガク/ /キ/ゴー/ナ/ド/ヲ/ /ヒョー/ゲン/ /デ/キ/ル/ /カッ/キ/テキ/ナ/ /ハツ/メイ/デ/ /ア/ル/。
ルイ・ブライユは三歳のときに工具で目を傷つけて失明し、後にパリの王立盲学校に入学したことが点字考案への道を開く 大きな転機となった人物である。	ル/イ/・/ブ/ラ/イ/ユ/ワ/ /3/サイ/ノ/ /ト/キ/ニ/ /コー/グ/デ/ /メ/ヲ/ /キズ/ツ/ケ/テ/ /シツ/メイ/ /シ/、/アト/ニ/ /パ/リ/ノ/ /オー/リツ/ /モー/ガッ/コー/ニ/ /ニュー/ガク/ /シ/タ/ /コ/ト/ガ/ /テン/ジ /コー/アン/エ/ノ/ /ミチ/ヲ/ /ヒラ/ク/オオ/キ/ナ/ /テン/キ/ト/ /ナ/ッ/タ/ /ジン/ブツ/デ/ /ア/ル/。
点字が考案される以前の盲学校では、活字を浮き彫りにして指で読む方法が用いられていたが、読むことはできても書くことができないという根本的な問題があった。	テン/ジ/ガ/ /コー/アン/ /サ/レ/ル/ /イ/ゼン/ノ/ /モー/ガッ/コー/デ/ワ/、/カツ/ジ/ヲ/ /ウ/キ/ボ/リ/ニ/ /シ/テ/ /ユビ/デ/ /ヨ/ム/ /ホー/ホー/ガ/ /モチ/イ/ラ/レ/テ/ /イ/タ/ガ/、/ヨ/ム/ /コ/ト/ワ/ /デ/キ/テ/モ/ /カ/ク/ /コ/ト/ガ/ /デ/キ/ナ/イ/ト/ /イ/ウ/ /コン/ポン/テキ/ナ/ /モン/ダイ/ガ/ /ア/ッ/タ/。
点字の原型となったのはフランス軍の将校シャルル・バルビエが戦場での夜間通信用に開発した「夜の文字」と呼ばれる十二点式の触読コードであり、ブライユはこれを改良した。	テン/ジ/ノ/ /ゲン/ケイ/ト/ /ナ/ッ/タ/ノ/ワ/ /フ/ラ/ン/ス/グン/ノ/ /ショー/コー/ /シャ/ル/ル/・/バ/ル/ビ/エ/ガ/ /セン/ジョー/デ/ノ/ /ヤ/カン/ /ツー/シン/ヨー/ニ/ /カイ/ハツ/ /シ/タ/ /「/ヨル/ノ/ /モ/ジ/」/ト/ /ヨ/バ/レ/ル/ /1/2/テン/ /シキ/ノ/ /ショク/ドク/ /コ/ー/ド/デ/ /ア/リ/、/ブ/ラ/イ/ユ/ワ/ /コ/レ/ヲ/ /カイ/リョー/ /シ/タ/。
ブライユは六点式に簡略化することで文字一つを指一本で読み取れるようにし、読み取り速度と正確性を大幅に向上させた点で師の体系を大きく超える独自性を持つ発明であった。	ブ/ラ/イ/ユ/ワ/ /6/テン/ /シキ/ニ/ /カン/リャク/カ /ス/ル/ /コ/ト/デ/ /モ/ジ/ /ヒト/ツ/ヲ/ /ユビ/ /1/ポン/デ/ /ヨ/ミ/ト/レ/ル/ヨ/ー/ニ/ /シ/、/ヨ/ミ/ト/リ/ /ソク/ド/ト/ /セイ/カク/セイ/ヲ/ /オオ/ハバ/ニ/ /コー/ジョー/ /サ/セ/タ/ /テン/デ/ /シ/ノ/ /タイ/ケイ/ヲ/ /オオ/キ/ク/ /コ/エ/ル/ /ドク/ジ/セイ/ヲ/ /モ/ツ/ /ハツ/メイ/デ/ /ア/ッ/タ/。
点字は当初、盲学校の教職員からも長らく公式には認められず、ブライユの死後二年が経過した一八五四年になってようやくフランスの盲学校で正式に採用された経緯がある。	テン/ジ/ワ/ /トー/ショ/、/モー/ガッ/コー/ノ/ /キョー/ショク/イン/カ/ラ/モ/ /ナガ/ラ/ク/ /コー/シキ/ニ/ワ/ /ミト/メ/ラ/レ/ズ/、/ブ/ラ/イ/ユ/ノ/ /シ/ゴ/ /2/ネン/ガ/ /ケイ/カ/ /シ/タ/ /1/8/5/4/ネン/ニ/ /ナ/ッ/テ/ /ヨ/ー/ヤ/ク/ /フ/ラ/ン/ス/ノ/ /モー/ガッ/コー/デ/ /セイ/シキ/ニ/ /サイ/ヨー/ /サ/レ/タ/ /ケイ/イ/ガ/ /ア/ル/。
日本には一八九〇年に石川倉次が日本語の仮名に対応した日本点字を制定しており、これは現在も使用されている六点点字を基盤とした体系として広く普及している。	ニ/ホン/ニ/ワ/ /1/8/9/0/ネン/ニ/ /イシ/カワ/ /クラ/ジ/ガ/ /ニ/ホン/ゴ/ノ/ /カ/ナ/ニ/ /タイ/オー/ /シ/タ/ /ニ/ホン/ /テン/ジ/ヲ/ /セイ/テイ/ /シ/テ/ /オ/リ/、/コ/レ/ワ/ /ゲン/ザイ/モ/ /シ/ヨー/ /サ/レ/テ/ /イ/ル/ /6/テン/ /テン/ジ/ヲ/ /キ/バン/ト/ /シ/タ/ /タイ/ケイ/ト/ /シ/テ/ /ヒロ/ク/ /フ/キュー/ /シ/テ/ /イ/ル/。
点字は一九世紀末から二十世紀にかけて世界各国に普及し、各言語の音韻体系に合わせた独自の点字コードが整備されていったが、基本となる六点の枠組みは世界共通である。	テン/ジ/ワ/ /1/9/セイ/キ/マツ/カ/ラ/ /2/0/セイ/キ/ニ/ /カ/ケ/テ/ /セ/カイ/ /カッ/コク/ニ/ /フ/キュー/ /シ/、/カク/ /ゲン/ゴ/ノ/ /オン/イン/ /タイ/ケイ/ニ/ /ア/ワ/セ/タ/ /ドク/ジ/ノ/ /テン/ジ/ /コ/ー/ド/ガ/ /セイ/ビ/ /サ/レ/テ/ /イ/ッ/タ/ガ/、/キ/ホン/ト/ /ナ/ル/ /6/テン/ノ/ /ワク/グ/ミ/ワ/ /セ/カイ/ /キョー/ツー/デ/ /ア/ル/。
